,datetime,text,user,location
0,2020-06-21 23:43:56,When is your birthday @fahcvagabond you nerd? https://t.co/RTnlIefFER,FullPedalTBRN,
1,2020-06-21 23:37:56,I miss Disney 🥺 https://t.co/FvgkUy1Hyp,tinybigz,"Orlando, FL"
2,2020-06-21 23:35:07,"@iticer85 Hi, iticer85. Please click the following link for the Disney Store locator page for updates regarding Sto… https://t.co/mnlD4YyeFd",shopDisney,Second star to the right
3,2020-06-21 23:23:48,@MagsieMags We are so sorry for the way you received your order. Please email your order number and these pictures… https://t.co/QvHj5SrVHL,shopDisney,Second star to the right
4,2020-06-21 23:18:58,@THETonyMorrison @shopDisney @themandalorian @starwars I bought a medium size and they don’t match up to the dimens… https://t.co/kUxTxZwdHI,AntBooch,
5,2020-06-21 23:16:46,@THETonyMorrison @shopDisney @themandalorian @starwars Very cute but far too small/don't extend enough over the sid… https://t.co/5llPOpv6gh,halloweengirl30,Colorful Colorado
6,2020-06-21 23:14:05,"@monkey_chunks08 Oh, no!  We are so sorry for the inconvenience, Allison. Please email Personal.shoppers@shopDisney… https://t.co/wVgRkWjr2x",shopDisney,Second star to the right
7,2020-06-21 23:10:20,"This is the way...

@shopDisney 
@themandalorian 
@starwars https://t.co/eU9HVEQRXv",THETonyMorrison,NYC
8,2020-06-21 23:06:24,@shopDisney No Disney for me!,tinsignman,
9,2020-06-21 23:05:01,Took my 4 year old girl to @Official_WEM today.  She hasn’t been anywhere since #COVID19 started. She was excited t… https://t.co/HjEnxU90Q4,VanBananaMan,Edmonton
10,2020-06-21 23:04:35,#ShopDisney You will love this #TheChild ''On Board'' # Car Magnet  #StarWars #TheMandalorian… https://t.co/9ujL5TuAtS,whipsandchurros,Southern California
11,2020-06-21 23:03:25,@zzgator I am glad my order from shopDisney didn't go through. https://t.co/kMYe2SUhuB,jeremiahgood,"Kissimmee, FL"
12,2020-06-21 22:56:35,Can I get a daddy to buy me this? https://t.co/eHCGY08PBG,thekatyford,
13,2020-06-21 22:53:29,@beckijohn Hi! We hope to have an update this week about @shopDisney,StDavidsCardiff,"Cardiff, Wales"
14,2020-06-21 22:53:22,"@DaisyDogo Hi, Daisy. The requested information has not been provided at this time.
Please check… https://t.co/jKNUUv93m4",shopDisney,Second star to the right
15,2020-06-21 22:50:47,@JLap64 @shopDisney @H2OPlusUSA That’s great to hear! Now I for sure can’t wait!,hecallsmePP,"Baltimore, MD"
16,2020-06-21 22:40:01,I keep seeing people with their shopDisney masks on and either I have an exceptionally large face/head or my masks… https://t.co/ac2Bp9e5Ac,zzgator,"Florida, USA"
17,2020-06-21 22:39:09,⁦@shopDisney⁩ Over a month ago I ordered something and it’s “processing” You should refund my money and send me the… https://t.co/EjWG7CrMBq,rashidsultan,"Madison, WI"
18,2020-06-21 22:35:29,"ive said it once and ill say it again,, if you wanna get to my heart or propose to me,, you need this 
https://t.co/6KpJP66uk0",vampsadist,dom+ : she/they
19,2020-06-21 22:32:24,@shopDisney #shopdisney It Was Even Released. This is Out of Hand https://t.co/dBHzetPr89,CaponeCiaoBella,Pittsburgh
20,2020-06-21 22:27:32,"I had never seen these ears before, &amp; I’ve searched ears on shopDisney so many times this past year",BerthaHemingway,
21,2020-06-21 22:24:38,"@Elvick @mski1369 @DisneyD23 @shopDisney @GLSEN That is true, in fact most companies supporting BLM snd Pride Month… https://t.co/BIAZbDp1H3",RusslandHelios,
22,2020-06-21 22:19:12,OMG I NEED THESE EARS 😭😭 https://t.co/Ske92Ww8dQ,giselaacruzz,
23,2020-06-21 22:19:01,@ashytemp19 BABE. Pizza. Planet. Pizza. Maker. 🥺😭❤️ https://t.co/lWDhkRl6ZT,BrendaOvah,"Sacramento, CA"
24,2020-06-21 21:19:59,"I was about to say

               “Pizza Hut snapped!” https://t.co/o0S7ke2FDU",ronthdon,"Chicago, Chillinois"
25,2020-06-21 21:06:03,@dorkycynic @HerUniverse @shopDisney The really sad part is for little girls.  While Yoda and Chewie and droid ear… https://t.co/rU66V1Wc3Q,btr2trvl,"Bay Hill, FL"
