,text,user,location,date,sentiment
549,"I really want new Disney Pins, but I'm so scared to get anything like that from @shopDisney right now because of th… https://t.co/bgzCUR2v9k",ThisIsJordanKay,"Grand Rapids, MI",2020-06-07,0
528,"Celebrate the 65th Anniversary of ""Lady &amp; the Tramp"" with these 3 adorable LE 4000 cameo pins… https://t.co/0QY92EbXNO",disney_dooney,,2020-06-07,4
527,That's no moon! That a Pewter Container Death Star! https://t.co/rnQB857NKR,sfsignal,"Houston, TX",2020-06-07,4
526,"@shopDisney my order arrived with missing parts, can you help me initiate a return for the order? #shopDisneySupport",Ancefan87Tr,Chicago,2020-06-07,0
525,"@DLPHelp @vanitynightmare @DisneyParis_EN @Disney @shopDisney @vanitynightmare You had no right, adding a tweet to… https://t.co/SkZmdNOJb9",LouiseS67992560,Enfield,2020-06-07,4
524,"Is there a reason why @artemisfowl received only white character toys? I understand production hell, but was kinda… https://t.co/nKFl7O6UL3",RogerRadcliffe,Gallifrey,2020-06-07,0
523,@shopDisney bring these back in stock :( I don’t feel like spending 400$ on eBay for them https://t.co/zCP178Yuy1,grandelovesbieb,J followed 12-25-19 ♡ ,2020-06-07,0
522,@shopDisney is there an issue with your checkout?  I've been trying to complete a purchase all morning and it just spins...,MrsHampshire,"ÜT: 27.931049,-82.331975",2020-06-07,4
521,@shopDisney will you be getting the Disney cruise sequin loungefly backpack back in stock?,herewegoagain91,,2020-06-07,4
520,#WeekendRewind: The new Dooney &amp; Bourke Hello Mate Collection inspired by EPCOT's United Kingdom pavilion is now av… https://t.co/dofEGtr21a,laughing_place,"Orlando, FL",2020-06-07,4
519,@shopDisney hi will you be getting the small bean bag Donald Duck and goofy in online soon? My little girl is desperate for these x,_laurynsmithh,"Falkirk, Scotland",2020-06-07,4
518,"***New Deal***
Weekend Sale on Sale at Shop Disney: Up to 85% off + Take an Extra 20% off
https://t.co/uchFc55CSd… https://t.co/6O86NvtDPW",TheInStockRoom,⬇️Latest Deals⬇️HappySavings⬇️,2020-06-07,4
517,@AdeleScalia how about these https://t.co/o67kXdY4Pw https://t.co/Jk6kAjt922,StolenMonkey86,"Columbia, MD",2020-06-07,4
516,"@shopDisney when will the ink and paint men’s shirts of the three caballeros be restocked for XL sizes, I’m desperate to buy one!!",blockheadjorge,,2020-06-07,0
515,@shopDisney we need a Minnie physician! Doctors can be women too and we need this as an option! Thank you for consi… https://t.co/klI446PY42,HeatherGodaleMD,"Uniontown, OH",2020-06-07,0
514,@jkbjournalist @KendraScott and lots of fun @shopDisney options!,joanneintexas,"Texas, USA",2020-06-07,4
529,"Did you buy anything from the new shopdisneyuk Pride collection?

#shopdisney #pride #pride2020 #disneycommunity… https://t.co/Kfh7oTl68b",WorldOf_DLP,"England, United Kingdom",2020-06-07,4
530,"@WDWNT “Guests can find these items on shopDisney, subject to availability.” Except they can’t.",cjwestby08,,2020-06-07,0
548,"Disney World just announced changes to their merchandise operation as the resorts prepare to reopen, including shop… https://t.co/2STDCcf9gK",laughing_place,"Orlando, FL",2020-06-07,0
532,New beach towel for enjoying the warmer weather at home. Good size and quality. Now I can lay in the sun in style h… https://t.co/y8eLLTddCu,OliverCuell,,2020-06-07,4
